年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2016/04/01,1,7.69,7.69,7.69,7.69,7.69,350,1
2016/04/01,2,,,,,,,0
2016/04/01,3,7.21,7.21,7.21,7.21,7.21,400,1
2016/04/01,4,7.06,7.06,7.06,7.06,7.06,400,1
2016/04/01,5,7.21,7.21,7.21,7.21,7.21,400,1
2016/04/01,6,7.21,7.21,7.21,7.21,7.21,400,1
2016/04/01,7,7.21,7.21,7.21,7.21,7.21,400,1
2016/04/01,8,7.21,7.21,7.21,7.21,7.21,400,1
2016/04/01,9,7.06,7.06,7.06,7.06,7.06,400,1
2016/04/01,10,7.06,7.06,7.06,7.06,7.06,400,1
2016/04/01,11,7.21,7.21,7.21,7.21,7.21,400,1
2016/04/01,12,7.29,7.29,7.29,7.29,7.29,400,1
2016/04/01,13,11.00,11.00,7.67,7.67,8.62,350,2
2016/04/01,14,6.00,7.67,6.00,7.67,7.30,450,2
2016/04/01,15,7.92,7.92,7.92,7.92,7.92,350,1
2016/04/01,16,7.92,7.92,7.92,7.92,7.92,350,1
2016/04/01,17,7.92,7.92,5.00,5.00,6.70,600,2
2016/04/01,18,8.00,15.00,5.00,15.00,8.79,1450,5
2016/04/01,19,9.77,9.77,9.00,9.00,9.51,450,2
2016/04/01,20,9.82,12.00,9.00,11.00,10.95,3150,4
2016/04/01,21,9.82,9.82,5.00,5.00,8.21,450,2
2016/04/01,22,9.82,9.82,5.00,5.00,8.21,450,2
2016/04/01,23,9.82,15.00,8.00,8.00,13.76,5600,7
2016/04/01,24,9.82,9.82,5.00,8.00,8.01,4100,6
2016/04/01,25,6.00,11.00,6.00,8.00,8.18,1300,8
2016/04/01,26,6.00,11.00,6.00,8.00,8.16,1350,8
2016/04/01,27,5.00,12.00,5.00,8.00,8.60,1250,7
2016/04/01,28,5.00,15.00,5.00,8.00,12.97,6950,10
2016/04/01,29,5.00,15.00,5.00,8.18,13.29,6500,7
2016/04/01,30,9.82,12.00,7.50,8.01,10.81,2450,7
2016/04/01,31,11.00,11.00,8.00,8.00,8.25,3100,8
2016/04/01,32,6.00,10.39,5.00,8.00,7.97,1200,6
2016/04/01,33,11.00,11.00,5.00,8.00,8.44,550,4
2016/04/01,34,11.00,11.04,5.00,11.04,8.60,600,6
2016/04/01,35,10.53,12.00,5.00,8.00,9.28,750,5
2016/04/01,36,6.00,12.00,6.00,8.00,9.78,900,6
2016/04/01,37,9.82,12.00,9.82,12.00,10.69,500,2
2016/04/01,38,9.82,12.00,9.82,12.00,10.69,500,2
2016/04/01,39,9.79,12.00,8.50,8.50,10.71,650,4
2016/04/01,40,9.49,9.49,8.50,8.50,9.35,350,3
2016/04/01,41,11.00,11.00,8.14,8.50,10.23,350,3
2016/04/01,42,11.00,11.00,8.14,8.50,9.83,350,3
2016/04/01,43,11.00,11.00,8.05,10.00,9.52,500,3
2016/04/01,44,11.00,11.00,8.09,8.09,8.92,350,2
2016/04/01,45,7.99,7.99,7.99,7.99,7.99,350,1
2016/04/01,46,8.14,8.14,8.14,8.14,8.14,350,1
2016/04/01,47,8.14,8.14,8.14,8.14,8.14,350,1
2016/04/01,48,8.16,8.16,8.16,8.16,8.16,350,1
2016/04/02,1,7.50,7.50,7.50,7.50,7.50,350,1
2016/04/02,2,6.78,6.78,6.78,6.78,6.78,350,1
2016/04/02,3,,,,,,,0
2016/04/02,4,,,,,,,0
2016/04/02,5,,,,,,,0
2016/04/02,6,,,,,,,0
2016/04/02,7,,,,,,,0
2016/04/02,8,,,,,,,0
2016/04/02,9,,,,,,,0
2016/04/02,10,,,,,,,0
2016/04/02,11,,,,,,,0
2016/04/02,12,,,,,,,0
2016/04/02,13,,,,,,,0
2016/04/02,14,,,,,,,0
2016/04/02,15,,,,,,,0
2016/04/02,16,9.00,9.00,9.00,9.00,9.00,50,1
2016/04/02,17,7.00,7.00,6.00,6.00,6.67,150,2
2016/04/02,18,7.00,7.00,7.00,7.00,7.00,100,1
2016/04/02,19,7.35,7.72,7.35,7.72,7.44,400,2
2016/04/02,20,7.62,7.62,6.00,6.00,7.22,400,2
2016/04/02,21,7.06,7.06,6.00,6.00,6.80,400,2
2016/04/02,22,7.06,7.06,6.00,6.00,6.80,400,2
2016/04/02,23,7.33,7.33,6.00,6.00,7.00,400,2
2016/04/02,24,7.06,7.06,6.00,6.00,6.80,400,2
2016/04/02,25,7.00,7.00,6.00,6.00,6.75,400,2
2016/04/02,26,6.78,6.78,6.00,6.00,6.59,400,2
2016/04/02,27,6.91,6.91,6.00,6.00,6.61,300,2
2016/04/02,28,6.78,6.78,6.00,6.00,6.52,300,2
2016/04/02,29,6.91,6.91,6.00,6.00,6.61,300,2
2016/04/02,30,6.91,9.00,6.00,9.00,8.45,1300,4
2016/04/02,31,6.97,6.97,6.00,6.00,6.65,300,2
2016/04/02,32,7.19,11.00,7.19,11.00,10.91,10250,6
2016/04/02,33,7.44,7.72,7.44,7.72,7.50,250,2
2016/04/02,34,6.00,7.72,6.00,7.72,7.16,250,3
2016/04/02,35,9.00,11.00,7.62,8.00,10.29,11350,9
2016/04/02,36,9.00,11.00,7.64,11.00,10.72,3300,5
2016/04/02,37,9.00,9.00,8.00,8.00,8.23,300,3
2016/04/02,38,9.00,9.00,8.05,8.05,8.24,250,2
2016/04/02,39,7.94,7.94,7.71,7.71,7.89,250,2
2016/04/02,40,7.94,7.94,7.71,7.71,7.86,300,2
2016/04/02,41,7.78,8.00,7.31,8.00,7.68,350,3
2016/04/02,42,7.69,7.69,6.55,6.55,7.31,300,2
2016/04/02,43,6.16,6.16,6.16,6.16,6.16,300,1
2016/04/02,44,6.30,6.30,6.30,6.30,6.30,300,1
2016/04/02,45,7.49,7.49,6.40,6.40,6.46,5800,3
2016/04/02,46,7.49,7.49,6.45,6.45,6.53,5850,3
2016/04/02,47,6.82,6.82,6.44,6.44,6.46,5350,2
2016/04/02,48,7.49,7.49,6.40,6.40,6.47,5350,2
2016/04/03,1,,,,,,,0
2016/04/03,2,,,,,,,0
2016/04/03,3,,,,,,,0
2016/04/03,4,,,,,,,0
2016/04/03,5,,,,,,,0
2016/04/03,6,,,,,,,0
2016/04/03,7,,,,,,,0
2016/04/03,8,,,,,,,0
2016/04/03,9,,,,,,,0
2016/04/03,10,,,,,,,0
2016/04/03,11,,,,,,,0
2016/04/03,12,,,,,,,0
2016/04/03,13,,,,,,,0
2016/04/03,14,,,,,,,0
2016/04/03,15,8.00,8.00,8.00,8.00,8.00,50,1
2016/04/03,16,8.00,8.00,8.00,8.00,8.00,50,1
2016/04/03,17,8.00,8.00,8.00,8.00,8.00,50,1
2016/04/03,18,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,19,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,20,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,21,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,22,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,23,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,24,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,25,6.63,6.63,6.63,6.63,6.63,50,1
2016/04/03,26,6.63,6.63,6.63,6.63,6.63,50,1
2016/04/03,27,6.63,6.63,6.63,6.63,6.63,50,1
2016/04/03,28,6.63,6.63,6.63,6.63,6.63,50,1
2016/04/03,29,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,30,7.00,7.00,7.00,7.00,7.00,50,1
2016/04/03,31,8.00,8.00,6.84,6.84,7.01,350,2
2016/04/03,32,8.00,8.00,6.84,6.84,7.01,350,2
2016/04/03,33,8.00,8.00,6.84,6.84,6.99,400,2
2016/04/03,34,8.00,8.00,6.84,6.84,6.99,400,2
2016/04/03,35,8.00,8.00,6.84,6.84,6.99,400,2
2016/04/03,36,8.00,8.00,6.84,6.84,7.10,450,2
2016/04/03,37,8.96,8.96,8.29,8.29,8.63,100,2
2016/04/03,38,8.96,8.96,8.29,8.29,8.74,150,2
2016/04/03,39,8.96,8.96,8.29,8.29,8.63,100,2
2016/04/03,40,8.96,8.96,8.29,8.29,8.79,200,3
2016/04/03,41,8.00,8.00,7.29,7.29,7.65,100,2
2016/04/03,42,8.00,8.00,6.00,6.84,6.57,250,5
2016/04/03,43,8.00,8.00,8.00,8.00,8.00,50,1
2016/04/03,44,8.00,8.00,6.54,6.54,6.75,350,2
2016/04/03,45,,,,,,,0
2016/04/03,46,,,,,,,0
2016/04/03,47,,,,,,,0
2016/04/03,48,,,,,,,0
2016/04/04,1,,,,,,,0
2016/04/04,2,,,,,,,0
2016/04/04,3,,,,,,,0
2016/04/04,4,6.47,6.47,6.47,6.47,6.47,5500,1
2016/04/04,5,,,,,,,0
2016/04/04,6,6.46,6.46,6.46,6.46,6.46,1000,1
2016/04/04,7,6.51,6.51,6.51,6.51,6.51,1000,1
2016/04/04,8,6.52,6.52,6.52,6.52,6.52,1000,1
2016/04/04,9,6.54,6.54,6.54,6.54,6.54,6000,1
2016/04/04,10,6.51,6.51,6.51,6.51,6.51,6000,1
2016/04/04,11,6.60,6.60,6.60,6.60,6.60,6000,1
2016/04/04,12,6.52,6.52,6.52,6.52,6.52,6000,1
2016/04/04,13,8.12,8.12,6.56,6.56,6.57,7550,2
2016/04/04,14,8.12,8.12,8.12,8.12,8.12,50,1
2016/04/04,15,8.12,8.12,8.12,8.12,8.12,50,1
2016/04/04,16,8.12,8.12,8.12,8.12,8.12,50,1
