年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2021/04/01,1,6.01,8.08,3.06,5.64,6.80,142400,78
2021/04/01,2,5.75,9.00,3.06,5.18,5.96,141150,84
2021/04/01,3,5.56,8.86,4.14,5.30,5.67,112300,70
2021/04/01,4,5.46,8.86,5.14,5.60,5.68,103050,68
2021/04/01,5,5.63,8.93,5.17,5.67,6.34,88500,64
2021/04/01,6,5.63,9.00,5.17,5.68,6.39,88150,68
2021/04/01,7,5.59,9.00,5.14,5.62,5.98,98250,68
2021/04/01,8,5.70,9.05,5.10,5.67,5.92,92400,65
2021/04/01,9,5.85,9.12,3.06,5.85,6.32,80150,62
2021/04/01,10,5.85,9.25,3.06,8.00,6.70,109700,73
2021/04/01,11,5.98,9.25,3.06,8.00,6.66,111450,74
2021/04/01,12,5.98,9.25,3.06,6.19,6.24,111000,70
2021/04/01,13,5.88,7.50,3.06,5.97,6.26,111850,80
2021/04/01,14,5.68,7.46,2.86,5.53,6.17,111650,81
2021/04/01,15,5.43,7.00,5.05,5.05,5.55,154850,87
2021/04/01,16,5.48,5.59,4.50,4.82,5.15,189700,73
2021/04/01,17,5.45,5.61,4.50,5.55,5.27,262600,100
2021/04/01,18,5.45,6.39,4.21,4.71,5.29,250350,94
2021/04/01,19,5.37,5.76,4.21,5.41,5.29,213950,112
2021/04/01,20,5.29,5.80,2.21,5.07,4.96,159500,87
2021/04/01,21,5.18,5.76,0.01,4.84,4.79,167150,100
2021/04/01,22,4.97,5.18,0.13,4.44,4.59,164450,95
2021/04/01,23,5.31,6.20,0.13,4.52,4.79,225000,109
2021/04/01,24,5.31,31.86,0.13,4.34,4.75,232050,121
2021/04/01,25,5.14,5.34,0.01,3.42,3.17,203800,127
2021/04/01,26,5.11,5.32,0.01,5.21,3.12,185150,129
2021/04/01,27,4.97,5.70,0.13,4.09,4.54,237700,146
2021/04/01,28,4.97,5.86,0.13,4.53,4.67,219350,141
2021/04/01,29,4.97,6.30,0.13,3.68,4.62,257400,152
2021/04/01,30,5.14,9.32,3.62,9.32,5.20,269650,185
2021/04/01,31,5.19,7.00,2.50,5.05,5.10,400950,218
2021/04/01,32,5.38,6.48,0.01,5.48,4.97,448150,203
2021/04/01,33,7.36,7.56,2.86,7.27,6.13,503850,249
2021/04/01,34,7.47,8.82,3.06,7.37,6.51,398750,211
2021/04/01,35,6.67,7.71,3.06,7.71,6.36,274700,178
2021/04/01,36,6.58,7.33,5.63,7.33,6.39,192100,179
2021/04/01,37,7.07,8.24,4.97,6.19,6.64,220750,191
2021/04/01,38,7.07,8.24,5.68,6.19,6.96,183150,176
2021/04/01,39,7.13,10.73,5.56,7.16,6.88,173100,178
2021/04/01,40,7.37,13.31,5.63,13.31,6.92,154050,168
2021/04/01,41,7.44,13.17,5.61,13.17,7.34,280500,174
2021/04/01,42,7.01,9.00,5.43,8.35,7.56,243500,177
2021/04/01,43,7.19,9.00,5.78,8.35,7.50,269700,166
2021/04/01,44,6.66,8.60,0.01,8.35,6.84,251100,182
2021/04/01,45,5.89,9.19,3.06,7.47,6.38,236650,163
2021/04/01,46,5.70,9.00,5.27,7.95,6.37,254600,176
2021/04/01,47,5.73,9.00,5.14,7.35,6.38,246850,166
2021/04/01,48,5.51,8.78,5.07,7.95,5.87,260400,173
2021/04/02,1,5.65,6.70,4.00,5.27,5.68,125750,60
2021/04/02,2,5.54,6.44,5.23,5.23,5.56,129100,67
2021/04/02,3,5.43,6.11,5.24,5.25,5.56,129250,61
2021/04/02,4,5.43,6.33,5.13,6.24,5.58,131050,63
2021/04/02,5,5.51,6.82,5.24,6.82,5.73,99850,54
2021/04/02,6,5.51,6.92,5.24,6.92,5.74,99350,55
2021/04/02,7,6.04,7.01,5.24,7.01,6.13,97500,54
2021/04/02,8,5.92,7.01,5.24,6.32,6.13,96600,57
2021/04/02,9,5.73,7.01,5.24,7.01,6.01,131850,51
2021/04/02,10,5.63,7.02,4.00,5.28,5.98,135450,62
2021/04/02,11,5.80,7.02,4.00,6.80,6.27,176200,66
2021/04/02,12,6.04,7.48,4.00,7.01,6.45,210000,74
2021/04/02,13,5.63,7.47,4.00,7.47,6.23,161950,75
2021/04/02,14,5.54,7.38,5.07,5.48,6.13,126900,69
2021/04/02,15,5.44,6.49,5.07,5.37,5.65,132750,74
2021/04/02,16,5.44,6.85,5.07,5.08,5.65,137600,70
2021/04/02,17,5.43,6.14,4.75,5.33,5.41,161250,79
2021/04/02,18,5.30,5.84,4.62,5.24,5.40,160950,82
2021/04/02,19,4.86,7.11,2.43,4.95,4.57,150200,67
2021/04/02,20,4.32,6.62,2.22,4.86,4.38,153400,64
2021/04/02,21,4.14,5.14,2.21,4.64,3.89,152950,72
